test_name,test_samples,positive_test_samples,negative_test_samples,roc_auc,pr_auc,f1,status
creatinine,545,389,156,0.9177213103948323,0.9554738144986514,0.9334945586457074,evaluated
glucose,533,418,115,0.9010401497815685,0.9645897775612654,0.9464082098061574,evaluated
hemoglobin,504,370,134,0.9322307382008874,0.9696859386319452,0.9362808842652796,evaluated
potassium,561,406,155,0.9193230573653266,0.9592326467453076,0.9372093023255814,evaluated
sodium,560,405,155,0.9213062524890482,0.9609435706235896,0.9381563593932322,evaluated
